id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,distancia_ao_radar_mais_proximo,proximo_ao_radar
549582,2023-09-18,segunda-feira,21:30:00,MG,381.0,481,CONTAGEM,Condutor deixou de manter distância do veículo da frente,Engavetamento,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Múltipla,Reta,Sim,5,0,3,0,2,0,3,4,-19.9584393,-44.0709202,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,1.5163845535943528,True
549815,2023-09-20,quarta-feira,08:50:00,MG,381.0,490,BETIM,Ausência de reação do condutor,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Sol,Dupla,Reta,Sim,2,0,0,0,2,0,0,2,-19.96502819,-44.17422195,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,0.2517590111259961,True
550307,2023-09-22,sexta-feira,21:00:00,MG,381.0,485,BETIM,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Múltipla,Reta;Aclive                   ,Sim,4,0,1,0,2,1,1,2,-19.95659361,-44.12622893,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,4.28087403311054,True
550495,2023-09-23,sábado,20:20:00,MG,381.0,492,BETIM,Manobra de mudança de faixa,Engavetamento,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Curva,Sim,4,0,1,0,3,0,1,3,-19.97490091,-44.19004301,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,2.2276468084255825,True
550804,2023-09-25,segunda-feira,07:10:00,MG,381.0,486,BETIM,Ausência de reação do condutor,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Dupla,Reta,Não,2,0,2,0,0,0,2,1,-19.95644414,-44.13611598,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,3.844321956464559,True
551142,2023-09-22,sexta-feira,18:45:00,MG,381.0,484,BETIM,Ausência de reação do condutor,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Múltipla,Aclive;Reta                   ,Sim,2,0,1,0,0,1,1,2,-19.95531717,-44.11722196,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,3.359542923777554,True
551303,2023-09-27,quarta-feira,15:45:00,MG,381.0,492,BETIM,Entrada inopinada do pedestre,Atropelamento de Pedestre,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Reta,Sim,2,0,2,0,0,0,2,2,-19.97490091,-44.19004301,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,2.2276468084255825,True
551509,2023-09-28,quinta-feira,17:40:00,MG,381.0,481,BETIM,Frear bruscamente,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Garoa/Chuvisco,Múltipla,Reta,Sim,2,0,1,0,1,0,1,2,-19.95931561,-44.08825597,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,0.3005554822458707,True
551737,2023-09-29,sexta-feira,19:15:00,MG,381.0,481,BETIM,Trafegar com motocicleta (ou similar) entre as faixas,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Múltipla,Reta,Sim,2,0,1,0,1,0,1,1,-19.95931561,-44.08825597,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,0.3005554822458707,True
552465,2023-10-02,segunda-feira,16:15:00,SP,381.0,86,SAO PAULO,Velocidade Incompatível,Capotamento,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Múltipla,Curva,Não,2,0,2,0,0,0,2,1,-23.45930499,-46.57161179,SPRF-SP,DEL03-SP,UOP01-DEL03-SP,6.461244839771932,False
552471,2023-10-02,segunda-feira,18:05:00,MG,381.0,484,BETIM,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Não,2,0,0,1,1,0,1,2,-19.95531717,-44.11722196,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,3.359542923777554,True
